index,level_0,country,year,population
0,0,AUT,2008,8321496
1,1,BEL,2008,10709973
2,2,BGR,2008,7492561
3,3,CYP,2008,1092390
4,4,CZE,2008,10384603
5,5,DEU,2008,82110097
6,6,DNK,2008,5493621
7,7,ESP,2008,45954106
8,8,EST,2008,1337090
9,9,FIN,2008,5313399
10,10,FRA,2008,64379696
11,11,GRC,2008,11077841
12,12,HRV,2008,4309705
13,13,HUN,2008,10038188
14,14,IRL,2008,4489544
15,15,ITA,2008,58826731
16,16,LTU,2008,3198231
17,17,LUX,2008,488650
18,18,LVA,2008,2177322
19,19,MLT,2008,409379
20,20,NLD,2008,16445593
21,21,POL,2008,38125759
22,22,PRT,2008,10558177
23,23,ROU,2008,20537875
24,24,SVK,2008,5379233
25,25,SVN,2008,2021316
26,26,SWE,2008,9219637
27,27,AUT,2009,8343323
28,28,BEL,2009,10796493
29,29,BGR,2009,7444443
30,30,CYP,2009,1110974
31,31,CZE,2009,10443936
32,32,DEU,2009,81902307
33,33,DNK,2009,5523095
34,34,ESP,2009,46362946
35,35,EST,2009,1334515
36,36,FIN,2009,5338871
37,37,FRA,2009,64710879
38,38,GRC,2009,11107017
39,39,HRV,2009,4305181
40,40,HUN,2009,10022650
41,41,IRL,2009,4535375
42,42,ITA,2009,59095365
43,43,LTU,2009,3162916
44,44,LUX,2009,497783
45,45,LVA,2009,2141669
46,46,MLT,2009,412477
47,47,NLD,2009,16530388
48,48,POL,2009,38151603
49,49,PRT,2009,10568247
50,50,ROU,2009,20367487
51,51,SVK,2009,5386406
52,52,SVN,2009,2039669
53,53,SWE,2009,9298515
54,54,AUT,2010,8363404
55,55,BEL,2010,10895586
56,56,BGR,2010,7395599
57,57,CYP,2010,1129686
58,58,CZE,2010,10474410
59,59,DEU,2010,81776930
60,60,DNK,2010,5547683
61,61,ESP,2010,46576897
62,62,EST,2010,1331475
63,63,FIN,2010,5363352
64,64,FRA,2010,65030575
65,65,GRC,2010,11121341
66,66,HRV,2010,4295427
67,67,HUN,2010,10000023
68,68,IRL,2010,4560155
69,69,ITA,2010,59277417
70,70,LTU,2010,3097282
71,71,LUX,2010,506953
72,72,LVA,2010,2097555
73,73,MLT,2010,414508
74,74,NLD,2010,16615394
75,75,POL,2010,38042794
76,76,PRT,2010,10573100
77,77,ROU,2010,20246871
78,78,SVK,2010,5391428
79,79,SVN,2010,2048583
80,80,SWE,2010,9378126
81,81,AUT,2011,8391643
82,82,BEL,2011,11038264
83,83,BGR,2011,7348328
84,84,CYP,2011,1145086
85,85,CZE,2011,10496088
86,86,DEU,2011,80274983
87,87,DNK,2011,5570572
88,88,ESP,2011,46742697
89,89,EST,2011,1327439
90,90,FIN,2011,5388272
91,91,FRA,2011,65345233
92,92,GRC,2011,11104899
93,93,HRV,2011,4280622
94,94,HUN,2011,9971727
95,95,IRL,2011,4580084
96,96,ITA,2011,59379449
97,97,LTU,2011,3028115
98,98,LUX,2011,518347
99,99,LVA,2011,2059709
100,100,MLT,2011,416268
101,101,NLD,2011,16693074
102,102,POL,2011,38063255
103,103,PRT,2011,10557560
104,104,ROU,2011,20147528
105,105,SVK,2011,5398384
106,106,SVN,2011,2052843
107,107,SWE,2011,9449213
108,108,AUT,2012,8429991
109,109,BEL,2012,11106932
110,110,BGR,2012,7305888
111,111,CYP,2012,1156556
112,112,CZE,2012,10510785
113,113,DEU,2012,80425823
114,114,DNK,2012,5591572
115,115,ESP,2012,46773055
116,116,EST,2012,1322696
117,117,FIN,2012,5413971
118,118,FRA,2012,65662240
119,119,GRC,2012,11045011
120,120,HRV,2012,4267558
121,121,HUN,2012,9920362
122,122,IRL,2012,4599533
123,123,ITA,2012,59539717
124,124,LTU,2012,2987773
125,125,LUX,2012,530946
126,126,LVA,2012,2034319
127,127,MLT,2012,420028
128,128,NLD,2012,16754962
129,129,POL,2012,38063164
130,130,PRT,2012,10514844
131,131,ROU,2012,20058035
132,132,SVK,2012,5407579
133,133,SVN,2012,2057159
134,134,SWE,2012,9519374
135,135,AUT,2013,8479823
136,136,BEL,2013,11159407
137,137,BGR,2013,7265115
138,138,CYP,2013,1166968
139,139,CZE,2013,10514272
140,140,DEU,2013,80645605
141,141,DNK,2013,5614932
142,142,ESP,2013,46620045
143,143,EST,2013,1317997
144,144,FIN,2013,5438972
145,145,FRA,2013,66002289
146,146,GRC,2013,10965211
147,147,HRV,2013,4255689
148,148,HUN,2013,9893082
149,149,IRL,2013,4623816
150,150,ITA,2013,60233948
151,151,LTU,2013,2957689
152,152,LUX,2013,543360
153,153,LVA,2013,2012647
154,154,MLT,2013,425967
155,155,NLD,2013,16804432
156,156,POL,2013,38040196
157,157,PRT,2013,10457295
158,158,ROU,2013,19983693
159,159,SVK,2013,5413393
160,160,SVN,2013,2059953
161,161,SWE,2013,9600379
162,162,AUT,2014,8546356
163,163,BEL,2014,11209057
164,164,BGR,2014,7223938
165,165,CYP,2014,1176995
166,166,CZE,2014,10525347
167,167,DEU,2014,80982500
168,168,DNK,2014,5643475
169,169,ESP,2014,46480882
170,170,EST,2014,1314545
171,171,FIN,2014,5461512
172,172,FRA,2014,66312067
173,173,GRC,2014,10892413
174,174,HRV,2014,4238389
175,175,HUN,2014,9866468
176,176,IRL,2014,4657740
177,177,ITA,2014,60789140
178,178,LTU,2014,2932367
179,179,LUX,2014,556319
180,180,LVA,2014,1993782
181,181,MLT,2014,434558
182,182,NLD,2014,16865008
183,183,POL,2014,38011735
184,184,PRT,2014,10401062
185,185,ROU,2014,19908979
186,186,SVK,2014,5418649
187,187,SVN,2014,2061980
188,188,SWE,2014,9696110
189,189,AUT,2015,8642699
190,190,BEL,2015,11274196
191,191,BGR,2015,7177991
192,192,CYP,2015,1187280
193,193,CZE,2015,10546059
194,194,DEU,2015,81686611
195,195,DNK,2015,5683483
196,196,ESP,2015,46444832
197,197,EST,2015,1315407
198,198,FIN,2015,5479531
199,199,FRA,2015,66548272
200,200,GRC,2015,10820883
201,201,HRV,2015,4203604
202,202,HUN,2015,9843028
203,203,IRL,2015,4701957
204,204,ITA,2015,60730582
205,205,LTU,2015,2904910
206,206,LUX,2015,569604
207,207,LVA,2015,1977527
208,208,MLT,2015,445053
209,209,NLD,2015,16939923
210,210,POL,2015,37986412
211,211,PRT,2015,10358076
212,212,ROU,2015,19815616
213,213,SVK,2015,5423801
214,214,SVN,2015,2063531
215,215,SWE,2015,9799186
216,216,AUT,2016,8736668
217,217,BEL,2016,11331422
218,218,BGR,2016,7127822
219,219,CYP,2016,1197881
220,220,CZE,2016,10566332
221,221,DEU,2016,82348669
222,222,DNK,2016,5728010
223,223,ESP,2016,46484062
224,224,EST,2016,1315790
225,225,FIN,2016,5495303
226,226,FRA,2016,66724104
227,227,GRC,2016,10775971
228,228,HRV,2016,4174349
229,229,HUN,2016,9814023
230,230,IRL,2016,4755335
231,231,ITA,2016,60627498
232,232,LTU,2016,2868231
233,233,LUX,2016,582014
234,234,LVA,2016,1959537
235,235,MLT,2016,455356
236,236,NLD,2016,17030314
237,237,POL,2016,37970087
238,238,PRT,2016,10325452
239,239,ROU,2016,19702267
240,240,SVK,2016,5430798
241,241,SVN,2016,2065042
242,242,SWE,2016,9923085
243,243,AUT,2017,8797566
244,244,BEL,2017,11375158
245,245,BGR,2017,7075947
246,246,CYP,2017,1208523
247,247,CZE,2017,10594438
248,248,DEU,2017,82657002
249,249,DNK,2017,5764980
250,250,ESP,2017,46593236
251,251,EST,2017,1317384
252,252,FIN,2017,5508214
253,253,FRA,2017,66918020
254,254,GRC,2017,10754679
255,255,HRV,2017,4124531
256,256,HUN,2017,9787966
257,257,IRL,2017,4807388
258,258,ITA,2017,60536709
259,259,LTU,2017,2828403
260,260,LUX,2017,596336
261,261,LVA,2017,1942248
262,262,MLT,2017,467999
263,263,NLD,2017,17131296
264,264,POL,2017,37974826
265,265,PRT,2017,10300300
266,266,ROU,2017,19588715
267,267,SVK,2017,5439232
268,268,SVN,2017,2066388
269,269,SWE,2017,10057698
270,270,AUT,2018,8840521
271,271,BEL,2018,11427054
272,272,BGR,2018,7025037
273,273,CYP,2018,1218831
274,274,CZE,2018,10629928
275,275,DEU,2018,82905782
276,276,DNK,2018,5793636
277,277,ESP,2018,46797754
278,278,EST,2018,1321977
279,279,FIN,2018,5515525
280,280,FRA,2018,67158348
281,281,GRC,2018,10732882
282,282,HRV,2018,4087843
283,283,HUN,2018,9775564
284,284,IRL,2018,4867316
285,285,ITA,2018,60421760
286,286,LTU,2018,2801543
287,287,LUX,2018,607950
288,288,LVA,2018,1927174
289,289,MLT,2018,484630
290,290,NLD,2018,17231624
291,291,POL,2018,37974750
292,292,PRT,2018,10283822
293,293,ROU,2018,19473970
294,294,SVK,2018,5446771
295,295,SVN,2018,2073894
296,296,SWE,2018,10175214
297,297,AUT,2019,8879920
298,298,BEL,2019,11488980
299,299,BGR,2019,6975761
300,300,CYP,2019,1228836
301,301,CZE,2019,10671870
302,302,DEU,2019,83092962
303,303,DNK,2019,5814422
304,304,ESP,2019,47134837
305,305,EST,2019,1326898
306,306,FIN,2019,5521606
307,307,FRA,2019,67388001
308,308,GRC,2019,10721582
309,309,HRV,2019,4065253
310,310,HUN,2019,9771141
311,311,IRL,2019,4934340
312,312,ITA,2019,59729081
313,313,LTU,2019,2794137
314,314,LUX,2019,620001
315,315,LVA,2019,1913822
316,316,MLT,2019,504062
317,317,NLD,2019,17344874
318,318,POL,2019,37965475
319,319,PRT,2019,10286263
320,320,ROU,2019,19371648
321,321,SVK,2019,5454147
322,322,SVN,2019,2088385
323,323,SWE,2019,10278887
324,324,AUT,2020,8916864
325,325,BEL,2020,11538604
326,326,BGR,2020,6934015
327,327,CYP,2020,1237537
328,328,CZE,2020,10697858
329,329,DEU,2020,83160871
330,330,DNK,2020,5831404
331,331,ESP,2020,47365655
332,332,EST,2020,1329522
333,333,FIN,2020,5529543
334,334,FRA,2020,67571107
335,335,GRC,2020,10698599
336,336,HRV,2020,4047680
337,337,HUN,2020,9750149
338,338,IRL,2020,4985382
339,339,ITA,2020,59438851
340,340,LTU,2020,2794885
341,341,LUX,2020,630419
342,342,LVA,2020,1900449
343,343,MLT,2020,515332
344,344,NLD,2020,17441500
345,345,POL,2020,37899070
346,346,PRT,2020,10297081
347,347,ROU,2020,19265250
348,348,SVK,2020,5458827
349,349,SVN,2020,2102419
350,350,SWE,2020,10353442
351,351,AUT,2021,8955797
352,352,BEL,2021,11592952
353,353,BGR,2021,6877743
354,354,CYP,2021,1244188
355,355,CZE,2021,10505772
356,356,DEU,2021,83196078
357,357,DNK,2021,5856733
358,358,ESP,2021,47415750
359,359,EST,2021,1330932
360,360,FIN,2021,5541017
361,361,FRA,2021,67749632
362,362,GRC,2021,10641221
363,363,HRV,2021,3879000
364,364,HUN,2021,9709891
365,365,IRL,2021,5033165
366,366,ITA,2021,59109668
367,367,LTU,2021,2800839
368,368,LUX,2021,640064
369,369,LVA,2021,1884490
370,370,MLT,2021,518536
371,371,NLD,2021,17533044
372,372,POL,2021,37747124
373,373,PRT,2021,10325147
374,374,ROU,2021,19119880
375,375,SVK,2021,5447247
376,376,SVN,2021,2108079
377,377,SWE,2021,10415811
378,378,AUT,2022,9042528
379,379,BEL,2022,11669446
380,380,BGR,2022,6465097
381,381,CYP,2022,1251488
382,382,CZE,2022,10526073
383,383,DEU,2022,84079811
384,384,DNK,2022,5903037
385,385,ESP,2022,47615034
386,386,EST,2022,1344768
387,387,FIN,2022,5556880
388,388,FRA,2022,67935660
389,389,GRC,2022,10566531
390,390,HRV,2022,3854000
391,391,HUN,2022,9683505
392,392,IRL,2022,5086988
393,393,ITA,2022,58856847
394,394,LTU,2022,2833000
395,395,LUX,2022,650774
396,396,LVA,2022,1883379
397,397,MLT,2022,523417
398,398,NLD,2022,17703090
399,399,POL,2022,37561599
400,400,PRT,2022,10379007
401,401,ROU,2022,18956666
402,402,SVK,2022,5431752
403,403,SVN,2022,2108732
404,404,SWE,2022,10486941
